source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J0000.0+3144,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0000.1-5042,97.99808736348632,5,2.0,1.4142135623730951,0.0,4.0,5,2
J0000.1-7354,0.00010749371153906395,1,0.0,0.0,0.0,0.0,5,2
J0000.3+6052,0.001075442647561431,1,0.0,0.0,0.0,0.0,5,2
J0000.5+0747,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0001.1-5953,8.618263746029697e-05,1,0.0,0.0,0.0,0.0,5,2
J0001.2-0747,51.54264913825398,2,0.5,0.5,0.0,1.0,5,2
J0001.3+4741,77.83074755229603,5,2.0,1.4142135623730951,0.0,4.0,5,2
J0001.4-0009,147.88205977129195,11,5.0,3.1622776601683795,0.0,10.0,5,2
J0001.5+2114,3697.8904022428114,43,21.0,12.409673645990857,0.0,42.0,5,3
J0001.5-4156,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0001.6+3502,9.428709745407104e-06,1,0.0,0.0,0.0,0.0,5,2
J0002.1+3902,60.508122327474666,6,2.5,1.707825127659933,0.0,5.0,5,2
J0002.2-6727,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0002.3-0815,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0002.5-5157,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0002.6+6719,113.1415638749217,7,3.0,2.0,0.0,6.0,5,2
J0002.7+7217,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0002.9+6217,12.660192557610571,2,0.5,0.5,0.0,1.0,5,2
J0003.1-1543,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0003.2+2506,31.62549313826662,3,1.0,0.816496580927726,0.0,2.0,5,2
J0003.2-5248,29.236254360076757,3,1.0,0.816496580927726,0.0,2.0,5,2
J0003.3-0703,7.43092895415807,2,0.5,0.5,0.0,1.0,5,2
J0003.3-1928,25.94473980599537,3,1.0,0.816496580927726,0.0,2.0,5,2
J0003.4-5906,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0003.5+0718,0.00012527405033324612,1,0.0,0.0,0.0,0.0,5,2
J0003.6+2206,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0003.7+3058,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0003.9+0842,24.332458960051333,3,1.0,0.816496580927726,0.0,2.0,5,2
J0003.9+5712,0.00011252984404563904,1,0.0,0.0,0.0,0.0,5,2
J0003.9-1148,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0004.3+4614,186.81190429592607,5,2.0,1.4142135623730951,0.0,4.0,5,2
J0004.3+6841,965.3398916632992,19,9.0,5.477225575051661,0.0,18.0,5,2
J0004.4-4002,40.660133651752375,4,1.5,1.118033988749895,0.0,3.0,5,2
J0004.4-4736,316.37502848044556,13,6.0,3.7416573867739413,0.0,12.0,5,2
J0005.5+6634,18.824480589282757,2,0.5,0.5,0.0,1.0,5,2
J0006.0+3822,176.54389234032396,9,4.0,2.581988897471611,0.0,8.0,5,2
J0006.0+6741,132.75698376030206,0,,,,,5,2
J0006.2+0135,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0006.2-0620,6.0303242435111315e-05,1,0.0,0.0,0.0,0.0,5,2
J0006.2-1813,3.34512151312083e-08,1,0.0,0.0,0.0,0.0,5,2
J0006.2-5625,32.53115523749943,2,0.5,0.5,0.0,1.0,5,2
J0006.7+5051,27.309858559106942,2,0.5,0.5,0.0,1.0,5,3
J0006.9+4617,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0007.0+7303,178.93672659815638,9,4.0,2.581988897471611,0.0,8.0,5,2
J0007.3-0322,-0.0,1,0.0,0.0,0.0,0.0,5,2
J0007.7+4008,49.340735647033725,5,2.0,1.4142135623730951,0.0,4.0,5,2
J0008.0+4712,20.59997984202346,2,0.5,0.5,0.0,1.0,5,2
J0008.1-3941,13.85704967025822,2,0.5,0.5,0.0,1.0,5,2
J0008.3+6926,574.0848057606948,16,7.5,4.6097722286464435,0.0,15.0,5,2
J0008.4+1455,34.59560653438166,3,1.0,0.816496580927726,0.0,2.0,5,2
J0008.4+6837,2107.1065844969344,28,13.5,8.077747210701755,0.0,27.0,5,3
J0008.4-2339,0.00022917590104043484,1,0.0,0.0,0.0,0.0,5,2
J0008.6+2507,0.00029429851929307915,1,0.0,0.0,0.0,0.0,5,2
J0009.1+0628,63.315927077990594,5,2.0,1.4142135623730951,0.0,4.0,5,2
J0009.2-1414,0.0001818627033571829,1,0.0,0.0,0.0,0.0,5,2
J0009.4+1746,0.0001863272063928889,1,0.0,0.0,0.0,0.0,5,2
J0009.4+5030,171.74607491765505,8,3.5,2.29128784747792,0.0,7.0,5,2
J0009.6-3217,7.77515453570345,2,0.5,0.5,0.0,1.0,5,2
J0009.7-4315,20.92704445717544,3,1.0,0.816496580927726,0.0,2.0,5,2
J0009.9+1340,2.755360091024294,3,1.0,0.816496580927726,0.0,2.0,5,2
J0010.1+2809,24.705279322994556,3,1.0,0.816496580927726,0.0,2.0,5,2
